code,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth (annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs),Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
KWT,,,0.8029999999999999,6.09,65.7,303.7,71887.0,0.9,4.0,2978.0,,,13.0,2.4,20.5,51.5,5.0,5.0,-0.04,-0.2,-0.1,0.1,-0.33,53.5,36.6,52.0,97.7,62.2,60.0,3.1,,,82.28,52.69,97.37,,92.06,75.24,93.83,82.18,78.89,74.21,63.9,71.47,37.59,37.82,2.5,9.808,8.4,2.8960000000000004,45.3396,100.0,,100.0,,100.0,5.51271,0.251048,1.78,0.7795350000000001,2.0,18.8303,95.6854,97.3912,97.5324,1.07912,3.74209,133.071,78.3674,0.64407,,22.7568,252.50799999999998,73.431,3.75955,67.9692,96.88,742.653,17.0,13.0,0.553376,2.56209,0.779692,4.09704,2.0,5.0,64.6,39.0,,4.4,0.671212,2.00374,1.8746200000000002,0.22,12.51,1,50.0
LAO,36.7,,0.601,4.62,37.8,40.9,5710.0,7.0,2.8,,2.9,59.0,11.0,1.5,79.3,26.3,7.0,6.0,0.43,-0.4,-0.7,-0.88,-0.94,41.4,33.1,34.1,86.7,53.6,20.0,27.5,47.58,61.87,51.27,29.6,71.64,63.6,65.07,47.16,68.75,34.83,40.06,61.42,24.28,45.37,36.99,11.75,17.1,166.392,63.9,39.177,161.137,80.4474,41.7848,72.5943,34.7043,87.0958,4.7952900000000005,153.95,6.87,0.154619,3.0,26.5836,58.2879,94.7263,66.5323,0.92881,1.14047,58.5721,21.87,0.27119,29.8333,17.917,587.61,44.873000000000005,1.05619,83.8137,0.0,342.185,15.9012,1.0,0.052502999999999994,1.7472599999999998,0.229829,2.00066,80.0,20.0,67.6,29.0,39.2332000732422,6.40655,1.7971099999999998,1.5839,0.722753,0.22,6.11,0,0.0
LBN,,21.9,0.757,5.15,44.8,85.2,18525.0,1.0,7.4,1117.0,,,11.0,6.8,78.2,26.9,6.0,4.0,-1.59,-0.5,-0.3,-0.82,-1.0,33.6,20.2,39.7,91.9,53.2,50.0,3.1,66.99,78.69,74.52,47.75,94.6,92.42,71.55,56.21,76.78,74.46,73.67,73.16,65.25,62.42,29.81,33.51,5.4,12.702,8.1,11.835999999999999,13.2107,92.2582,85.4457,95.3594,,100.0,1.6523400000000001,0.002796,3.95,0.647682,5.0,6.92,91.1842,85.7904,60.0023,1.00468,1.9164299999999999,81.4184,76.11,0.49153,88.3333,23.5239,253.986,74.684,2.1233400000000002,36.759,76.47,378.25699999999995,2.88803,11.0,0.661944,3.5912,0.6089100000000001,3.67843,33.1,3.0,63.8,28.0,11.938799858093299,8.2,0.771878,1.52755,2.35606,,11.39,4,10.0
LBR,32.0,22.2,0.435,4.42,30.6,3.8,855.0,0.0,15.2,128.0,,,,4.0,59.4,36.8,3.0,3.0,-0.41,-1.4,-1.0,-0.97,-0.69,42.4,32.0,28.2,77.5,50.9,20.0,12.3,46.35,44.63,46.71,47.71,52.99,30.68,32.05,62.79,55.3,37.75,41.3,52.51,84.53,42.16,55.71,8.44,42.8,513.494,67.4,30.618000000000002,471.52099999999996,69.9005,3.6940699999999995,16.8895,61.2779,19.8,2.3959099999999998,154.51,3.22,0.818755,4.0,15.6936,,90.0598,37.3972,0.77622,1.2724600000000001,67.5579,7.31911,0.28814,43.1429,16.8682,460.337,46.754,0.8897079999999999,56.5829,0.0,608.567,2.201,27.0,0.8382360000000001,3.8258099999999997,0.7817109999999999,4.64241,76.6,20.0,49.9,31.0,8.56340026855469,5.5,2.78416,2.44202,3.0624,0.16,4.37,0,0.0
LBY,,,0.706,5.65,,55.4,8679.0,-6.4,,,,,,19.2,0.0,92.9,7.0,6.0,-2.33,-1.8,-2.2,-1.78,-1.59,22.1,23.1,5.2,90.5,,,16.0,,73.17,,37.29,92.03,83.35,77.43,39.88,,46.1,58.65,41.61,33.56,54.98,40.23,20.41,,25.195999999999998,12.9,14.515,34.7798,96.75,41.2,99.7,,98.5367,2.84627,0.294518,2.49,0.200544,5.0,27.6779,,,,,2.2405,121.719,20.2722,0.10169,47.6667,20.5567,379.782,64.78399999999999,1.3932,71.9621,74.57,1718.37,0.211644,1.0,0.485964,0.898565,0.226873,3.10145,33.8,3.0,47.0,17.0,,7.8,0.859506,3.11512,2.4689400000000004,0.83,6.27,0,0.0
LCA,,,0.747,,,2.1,11783.0,1.6,6.0,681.0,4.3,381.0,,19.8,72.4,30.3,1.0,1.0,1.15,0.3,0.3,0.6,0.59,69.2,50.9,67.9,75.5,67.6,40.0,16.7,,,,,90.52,96.28,,,,,,74.65,,,,,17.0,84.765,13.3,3.0780000000000003,41.1708,98.1625,95.9914,90.9081,0.0,97.7609,,2.90008,21.56,,,16.7402,,,87.8477,1.00928,,99.2321,46.7291,0.23729,,22.362,371.04,59.629,,24.6351,64.44,612.975,10.4484,38.0,,,,,28.9,,74.7,55.0,,,,,,,11.94,0,0.0
LIE,,,0.9159999999999999,,,6.1,160526.0,1.2,,,,,15.0,2.4,,,2.0,1.0,1.5,1.8,1.5,1.67,2.06,,,,,,80.0,12.0,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,99.95,,100.0,,,2.68,,,,,99.6755,116.02799999999999,0.78227,,117.60700000000001,98.0939,0.62712,,,,,,,,,13.2772,33.0,,,,,,,,,,,,,,,,0,0.0
LKA,39.2,33.8,0.77,4.33,49.3,260.6,12262.0,5.2,3.0,353.0,1.9,74.0,14.0,5.0,89.3,18.9,3.0,4.0,-0.06,-0.2,-0.1,0.06,-0.45,52.0,30.7,46.5,84.9,57.8,40.0,5.8,68.01,78.48,75.27,50.29,87.77,80.99,77.56,67.59,90.21,71.66,66.83,72.38,74.03,63.27,34.47,29.39,22.1,33.943000000000005,9.4,13.697000000000001,38.5965,92.3119,37.5834,94.2067,2.90633,95.5882,3.9666699999999997,39.6646,2.91,0.757832,3.0,16.9158,91.1814,99.0801,97.6956,1.03436,2.37986,124.03399999999999,32.051,0.6610199999999999,83.5,22.011999999999997,302.365,69.304,1.8850099999999999,37.5575,0.0,184.22299999999998,15.4397,24.0,0.764614,3.00096,0.743128,4.04814,40.0,9.0,73.5,38.0,5.7659001350402805,8.7,1.7120099999999998,1.8337900000000003,2.08675,0.52,11.6,1,10.0
LSO,63.2,16.7,0.52,,29.5,7.0,3601.0,2.5,8.4,251.0,,,11.0,27.4,23.8,50.4,3.0,3.0,-0.25,-0.9,-0.3,-0.27,-0.03,52.7,32.9,49.4,48.2,53.9,40.0,22.9,48.93,45.45,47.47,53.89,53.6,57.37,38.8,32.01,60.56,53.5,29.46,46.34,70.27,66.74,63.12,15.42,14.5,332.911,93.5,30.633000000000003,1097.49,71.5929,65.4297,43.7911,39.9215,29.7333,2.8987700000000003,145.786,38.0,0.41237700000000005,3.0,51.9824,76.6352,83.5686,52.3194,1.35125,2.58303,103.589,27.36,0.11864000000000001,67.5,13.4701,871.7310000000001,42.61,2.1534400000000002,101.477,37.28,762.32,0.23893899999999998,27.0,0.695447,3.63825,0.675338,2.84234,20.4,15.0,77.2,42.0,23.448900222778303,3.6,2.45837,2.80341,3.4001699999999997,0.06,10.24,0,0.0
LTU,37.9,21.0,0.858,6.27,67.4,86.1,29972.0,1.6,6.5,1875.0,4.5,742.0,17.0,9.2,63.9,34.7,1.0,1.0,0.78,1.0,1.2,0.99,2.06,66.7,50.9,73.8,86.4,75.3,70.0,21.3,81.86,89.03,84.85,71.71,97.34,96.35,92.06,70.38,96.3,88.93,67.84,86.32,93.97,79.55,63.54,49.79,2.5,10.797,5.3,5.806,20.5246,97.3809,94.7617,93.6218,0.0,100.0,5.55631,2.07098,5.98,0.955451,3.0,12.3069,99.8156,99.8206,103.238,0.9539799999999999,3.4709800000000004,144.578,74.3766,0.8305100000000001,96.0,21.0999,443.894,68.342,3.36416,44.9832,93.49,247.27900000000002,16.9282,38.0,0.882067,3.75766,0.9498120000000001,4.866140000000001,10.3,0.0,72.6,59.0,20.968900680542,4.1,2.87515,2.53383,3.51989,1.05,14.17,4,30.0
LUX,30.4,13.2,0.904,7.06,83.2,59.9,104003.0,4.5,6.0,6382.0,4.0,4762.0,14.0,5.9,48.5,41.4,1.0,1.0,1.34,1.7,1.7,1.74,1.99,77.9,79.0,82.7,65.1,76.4,80.0,28.3,89.27,94.97,91.41,81.43,98.97,99.4,98.4,83.13,97.52,90.17,85.12,92.82,95.29,89.85,78.92,61.66,2.5,9.493,2.4,1.0859999999999999,17.6552,99.9508,99.9016,97.611,0.0,100.0,6.7064,0.272986,0.72,0.927267,,5.70383,,98.5969,101.96700000000001,1.03821,3.8620099999999997,132.697,98.1367,0.69492,,24.4934,206.93099999999998,82.89399999999999,3.41165,19.4435,99.76,207.107,17.0,38.0,0.953571,3.64264,0.9838709999999999,4.8312800000000005,6.1,1.0,,82.0,77.685302734375,2.8,2.69461,3.1771599999999998,3.7853,1.05,14.08,2,80.0
LVA,34.5,17.1,0.847,6.09,66.1,50.6,25710.0,2.7,5.8,1429.0,5.3,828.0,16.0,9.9,59.0,37.0,2.0,2.0,0.46,0.9,1.2,0.93,0.54,58.9,45.4,68.3,84.0,73.6,60.0,16.0,79.25,88.63,81.81,67.3,97.34,95.84,89.34,72.01,95.35,79.32,66.21,86.38,93.21,80.49,51.14,44.34,2.5,10.06,4.6,6.18,20.6362,98.5956,91.2423,92.86399999999999,0.0,100.0,5.21769,9.35365,4.11,0.930981,3.0,11.4814,99.8959,96.9835,112.23,0.99024,3.15004,134.495,79.8421,0.52542,82.1667,20.6154,478.355,70.042,3.2154700000000003,43.895,96.3,285.767,17.0,35.0,0.9449569999999999,3.8716699999999995,0.9168940000000001,4.71569,8.7,1.0,77.9,58.0,25.1730003356934,8.3,2.62584,2.6741099999999998,2.53628,0.78,14.44,2,30.0
MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,,,,,100.0,100.0,,,100.0,,,0.17,,,,96.5385,99.7518,99.3365,0.9958100000000001,,321.803,81.643,,,,,,,,,,0.0,,,,,,3.9,,,,,,,,,0.67,,3,70.0
MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.9703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0
MAR,40.9,32.7,0.667,5.31,45.8,281.8,8330.0,4.5,5.5,435.0,,,12.0,10.0,70.5,31.4,5.0,5.0,-0.41,-0.2,-0.2,-0.17,-0.13,44.3,41.3,53.8,70.5,61.9,70.0,20.5,66.51,81.85,70.49,47.19,89.03,79.26,91.99,67.12,68.95,73.71,56.89,82.41,63.6,61.75,37.23,26.17,3.5,85.624,27.1,16.512999999999998,88.5253,82.97,76.4826,83.4661,18.8575,100.0,5.5797300000000005,3.60245,1.05,0.783371,3.0,27.2486,69.4254,95.5144,69.6988,0.8542299999999999,0.9852350000000001,117.681,58.2712,0.8305100000000001,53.5,20.8158,367.49199999999996,58.992,1.33056,51.3175,85.38,331.67800000000005,16.9854,14.0,0.660596,1.58881,0.858028,4.239719999999999,51.0,11.0,78.5,40.0,7.2069997787475595,8.2,1.8982599999999998,1.65393,2.39157,0.37,4.84,3,30.0
MCO,,,,,,,,,2.0,3407.0,1.0,,,,,,3.0,1.0,1.65,,,,,,,,,,,20.8,,,,,,,,,,,,,,,,,,,3.4,,,100.0,100.0,100.0,,100.0,,,,,,,,,,,,86.488,95.2082,0.28814,,,,,,,,,17.0,25.0,,,,,,,,,,,,,,,,0,0.0
MDA,26.8,,0.7,5.33,48.7,18.9,5328.0,-1.1,10.2,515.0,7.5,168.0,12.0,5.0,56.7,38.0,3.0,3.0,-0.24,-0.5,0.0,-0.41,-0.8,26.3,26.6,53.5,85.3,58.4,50.0,22.8,67.69,81.86,69.71,51.49,93.36,80.88,84.65,68.57,87.17,74.06,54.84,62.75,81.01,58.56,38.97,27.41,8.5,19.848,15.9,7.529,30.5299,86.6933,59.7113,78.3989,0.23333,100.0,4.3302,9.15205,3.19,0.712753,3.0,11.8137,99.1383,91.585,86.1081,1.0080799999999999,2.2388,93.3216,71.0,0.6610199999999999,65.0,18.3821,547.56,64.486,2.33927,69.1805,83.06,725.1460000000001,3.52106,26.0,0.724439,3.42066,0.80967,4.79366,36.8,11.0,63.5,31.0,6.095300197601321,7.314760000000001,1.50296,1.7649400000000002,2.87715,0.56,13.8,0,0.0
MDG,41.0,,0.519,4.08,31.1,37.5,1505.0,3.0,5.2,77.0,,,11.0,2.1,92.9,15.4,3.0,4.0,-0.33,-1.1,-0.7,-0.86,-1.05,21.4,17.8,33.2,90.3,56.8,50.0,19.2,42.59,45.88,41.19,40.71,57.33,30.2,26.12,69.87,61.21,26.21,30.04,47.28,71.57,31.52,47.92,11.82,42.3,356.04400000000004,46.4,44.068999999999996,358.47900000000004,50.6214,33.9743,9.69367,55.3959,22.9,1.91792,188.84400000000002,0.62,0.649019,3.0,17.9826,71.5726,,38.3116,0.99459,0.29047,32.1285,4.71366,0.20339000000000002,44.2857,16.2483,660.302,39.293,0.29029699999999997,77.9377,0.0,828.541,5.82104,24.0,0.68288,3.6286199999999997,0.41626,4.53285,85.1,40.0,60.2,24.0,23.404499053955103,3.8,1.95471,2.02005,1.8585,,6.46,0,0.0
MDV,38.4,,0.7170000000000001,,,5.5,15553.0,1.9,11.5,1514.0,3.5,314.0,,3.2,45.5,42.6,5.0,5.0,0.26,-0.5,-0.4,-0.62,-0.79,38.8,36.6,45.0,94.3,51.1,30.0,5.9,,83.82,,37.83,90.72,85.47,90.32,68.77,,61.04,67.46,66.08,39.06,61.15,39.73,11.38,8.5,49.909,8.5,19.246,21.6843,97.882,42.9463,95.8688,0.0,100.0,,5.09545,0.85,0.53605,,9.46786,98.6101,99.2687,,,2.06651,189.858,59.0926,0.22034,59.0,22.2326,259.57099999999997,73.01,1.3704,43.328,39.76,298.212,1.16236,14.0,0.355271,0.849843,0.217454,3.7571800000000004,17.2,,53.8,33.0,,4.5,1.15167,1.80575,1.94385,0.04,7.6,0,0.0
MEX,48.2,40.7,0.774,6.41,49.1,2315.7,18938.0,2.5,5.9,1009.0,5.3,564.0,13.0,4.0,78.1,27.0,3.0,3.0,-0.65,0.0,0.2,-0.57,-0.93,39.0,26.9,58.6,75.7,64.8,60.0,42.6,70.42,80.85,73.85,56.56,93.12,94.22,87.81,48.27,84.79,62.84,62.16,85.62,73.98,62.06,44.41,45.8,4.2,46.067,14.6,12.138,31.9404,98.3105,95.1637,89.2184,5.53981,100.0,4.86841,6.783010000000001,16.35,0.5313939999999999,4.0,17.4076,94.4723,99.1168,97.2715,1.08606,1.22611,87.6019,59.5404,0.88136,19.6667,22.143,279.226,60.717,1.38396,25.7513,91.48,352.961,13.8285,26.0,0.771569,3.8361,0.430216,4.205030000000001,27.1,17.0,82.3,29.0,53.9662017822266,6.9,1.4928700000000001,1.4808,2.55127,0.7,10.77,19,30.0
MHL,,,0.708,,,,,,22.1,863.0,,,,,,,1.0,1.0,0.2,-1.6,-1.0,0.14,0.0,,,,,,,9.1,,,,,,60.66,,,,,,,,,,,,110.615,35.4,12.908,88.4804,78.1613,10.9663,86.8931,29.5,93.13799999999999,,38.6571,4.68,,,19.9642,98.2651,80.063,72.9927,1.09531,,,29.7878,0.05085,,15.2168,1107.75,44.474,,40.806,,721.203,13.1214,37.0,,,,,,,,,,,,,,,10.77,0,0.0
MKD,33.7,23.4,,5.23,52.5,30.3,14597.0,3.7,6.1,857.0,,,13.0,26.7,70.3,31.5,4.0,3.0,-0.25,0.1,0.5,-0.24,-0.31,57.0,47.4,64.8,91.6,71.3,60.0,34.2,68.78,85.59,72.27,48.47,95.76,94.52,85.25,66.86,87.39,76.44,58.73,66.49,72.84,55.67,38.34,27.01,3.9,7.671,12.2,7.871,10.4192,96.774,92.4348,90.9112,1.62,100.0,4.91237,29.0677,1.59,0.723761,4.0,8.44337,,94.6968,81.8912,0.98339,2.3517200000000003,98.5243,72.1568,0.61017,72.2222,18.815,490.041,63.898,2.80936,61.9411,52.07,458.54900000000004,7.812469999999999,21.0,0.760446,3.08241,0.7351840000000001,4.02426,26.6,7.0,31.6,35.0,9.94480037689209,6.6,1.7833700000000001,1.53373,2.20874,,12.74,0,0.0
MLI,40.1,,0.42700000000000005,4.74,29.7,38.1,2266.0,6.1,5.8,118.0,3.6,31.0,8.0,8.1,85.3,22.2,5.0,4.0,-1.91,-0.9,-0.6,-0.78,-0.63,32.4,31.4,31.9,68.1,57.6,40.0,8.8,45.06,56.8,43.65,34.74,65.18,57.64,43.16,61.23,40.81,43.96,46.51,43.31,70.82,20.87,44.21,3.05,4.0,372.0,110.6,24.326999999999998,457.425,74.2681,41.456,31.2683,12.6556,35.0695,2.9329099999999997,125.251,10.82,0.7247319999999999,3.0,15.7256,33.0689,62.066,42.9292,0.7438899999999999,1.8252700000000002,112.353,11.1122,0.0678,50.6667,17.9017,459.846,44.854,1.86431,89.7276,0.0,996.702,7.39255,17.0,0.777313,2.78606,0.66574,4.496519999999999,85.6,53.0,35.4,31.0,4.768799781799321,7.9,1.9913900000000002,1.88819,3.45088,0.06,1.56,0,0.0
MLT,28.1,29.0,0.878,6.68,68.8,17.3,39834.0,6.3,9.6,3471.0,7.2,1874.0,15.0,5.3,51.0,40.4,1.0,1.0,1.27,1.0,1.3,1.14,0.74,62.8,49.9,68.1,64.7,68.5,60.0,11.9,,,87.11,,98.48,99.99,88.82,,90.31,84.33,81.22,92.58,,77.68,,24.81,2.5,4.828,6.8,1.264,19.1009,100.0,100.0,99.9614,0.0,100.0,4.91195,0.5648270000000001,0.96,,,4.06999,93.3074,97.8867,95.7285,1.04234,,123.936,77.2894,0.77966,,23.9655,213.60299999999998,77.726,,20.2463,100.0,214.77200000000002,17.0,36.0,,,,,8.9,,74.8,56.0,80.28399658203121,3.6,,,,0.6,11.59,0,0.0
MMR,,24.7,0.578,4.15,37.0,304.7,5832.0,7.0,4.9,267.0,,,,0.8,84.7,22.6,5.0,5.0,-1.08,-1.1,-0.8,-0.95,-0.56,17.6,28.2,32.5,86.3,53.9,20.0,10.2,52.31,60.03,55.34,41.54,75.24,60.56,52.86,51.48,71.6,50.09,44.84,54.83,53.08,59.24,38.12,15.73,16.9,228.075,50.8,27.515,138.626,67.5366,23.4736,64.6965,6.85814,57.0094,2.72499,91.5718,2.42,0.5018630000000001,4.0,29.3448,75.5512,99.5453,60.5078,1.09822,0.9058229999999999,95.6532,25.0733,0.10169,62.5,18.1246,492.915,51.089,1.00439,74.82,0.0,433.555,6.1546199999999995,13.0,0.569602,2.01838,0.589199,3.1046,54.9,7.0,75.3,30.0,33.4786987304688,9.8,2.03405,1.78692,1.93603,0.34,7.74,0,0.0
MNE,31.9,25.1,0.8140000000000001,5.61,,10.4,16643.0,4.1,6.0,957.0,,,15.0,17.5,35.7,46.3,3.0,3.0,0.01,0.2,0.3,0.01,-0.09,51.3,38.1,54.2,85.2,64.3,50.0,23.5,71.87,84.6,81.32,49.68,95.74,94.57,82.48,65.59,92.86,86.1,67.9,78.42,75.4,62.32,33.25,27.76,2.5,5.734,3.8,13.863,9.0673,97.6276,84.2024,95.9087,0.15672,100.0,4.570209999999999,36.5962,2.72,0.788492,4.0,9.645760000000001,98.4422,94.6597,90.5309,0.99949,3.1811700000000003,165.562,69.8816,0.8305100000000001,89.4,21.006999999999998,422.708,69.798,3.16614,48.7726,81.67,366.426,12.2371,25.0,0.6412720000000001,3.7644699999999998,0.683215,4.17861,11.9,,38.1,46.0,10.328499794006301,8.2,1.48638,1.69104,1.95505,,13.05,0,0.0
MNG,34.0,14.3,0.741,5.33,50.6,37.0,12275.0,2.3,3.9,470.0,4.7,197.0,15.0,6.7,57.1,37.8,1.0,2.0,0.82,-0.3,-0.1,-0.3,-0.45,30.9,34.8,51.0,88.4,55.7,60.0,17.1,65.17,70.49,66.27,58.76,87.27,59.07,67.0,68.63,95.26,70.09,46.07,53.65,87.86,63.86,52.85,30.46,19.6,47.104,17.9,13.812000000000001,36.4757,83.2199,26.2122,59.2215,30.8654,81.775,3.97534,91.1643,7.23,0.832892,2.0,22.3565,98.257,99.3388,100.291,1.00627,2.87947,111.23700000000001,22.2658,0.71186,81.75,17.1215,786.3860000000001,59.571000000000005,2.56678,89.637,63.0,1231.48,13.1723,36.0,0.9033389999999999,3.54869,0.737108,4.76046,43.9,4.0,72.0,36.0,6.942200183868411,3.5,2.35187,2.44908,2.30762,0.96,12.06,0,0.0
MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.5719,99.2553,96.8657,78.8376,,100.0,,12.7982,,,,14.9211,,,,,,,,,,20.2465,,,,29.3151,,,13.1651,,,,,,,,,,,,,,,,,0,0.0
MOZ,45.6,23.7,0.43700000000000006,4.28,26.7,34.9,1215.0,6.3,5.4,64.0,,,10.0,24.4,60.7,36.2,4.0,4.0,-0.98,-0.9,-0.7,-1.01,-0.86,36.3,28.2,35.4,70.6,46.3,50.0,39.6,44.49,47.41,48.92,37.14,60.77,33.97,39.97,54.92,58.1,32.74,40.01,64.83,67.29,27.58,49.15,4.54,26.6,284.747,71.3,29.107,628.7230000000001,47.2587,31.6674,23.5607,47.1679,24.1983,2.97187,126.316,3.39,0.6184529999999999,4.0,23.7583,50.5838,89.5663,32.8823,0.91853,1.2286700000000002,52.1189,17.5212,0.20339000000000002,38.0,17.2256,462.907,46.455,0.485362,51.1152,45.65,967.404,16.6318,20.0,0.813493,3.67708,0.6139,2.54553,82.4,45.0,50.6,25.0,30.7171993255615,5.1,1.61837,1.8914900000000001,3.00762,0.02,2.99,0,0.0
MRT,37.0,18.0,0.52,4.68,28.9,16.4,4328.0,1.9,4.6,177.0,,,9.0,11.7,72.8,30.1,6.0,5.0,-0.62,-0.7,-0.8,-0.6,-0.75,17.6,28.9,23.9,75.9,54.0,40.0,25.2,41.85,53.95,43.66,27.95,69.69,48.02,46.26,51.81,49.5,37.93,47.68,39.52,43.2,41.09,20.22,7.3,5.3,451.241,81.4,24.087,247.787,69.6077,51.7034,44.6206,60.5658,41.6521,2.0934,80.6874,10.22,0.47324499999999997,4.0,12.3424,,71.2294,31.5697,0.9711,0.208504,84.0306,18.0,0.05085,39.25,19.1581,360.135,51.076,0.5135069999999999,107.374,0.0,754.1289999999999,0.6288279999999999,9.0,0.637373,0.33484400000000003,0.384838,3.7715099999999997,41.6,28.0,33.8,28.0,5.31269979476929,6.7,1.12449,0.34673400000000004,0.871951,0.07,4.44,0,0.0
MSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.575,96.575,88.7542,,,,,20.39,,,,,,,,,,,,,,,,,,,,6.719460000000001,,,,,,,,,,,,,,,,,0,0.0
MTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8589,99.8589,99.3758,,,,,2.78,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,74.5,,,,,,,,,0,0.0
MUS,35.9,27.4,0.79,6.17,60.2,25.9,20422.0,3.4,5.5,1099.0,4.9,499.0,15.0,7.8,80.7,25.4,1.0,2.0,0.99,0.9,1.0,0.68,0.2,69.6,52.1,68.7,91.0,75.1,70.0,11.6,74.8,90.14,77.28,56.99,93.32,98.25,91.17,77.81,90.8,74.9,66.13,77.29,90.68,66.28,53.88,17.11,5.2,52.445,13.7,9.834,34.5526,99.8652,99.8569,93.1491,0.2209,98.7818,5.45915,2.13245,2.71,0.8322149999999999,2.0,11.8156,92.7076,98.4989,93.3693,1.05693,2.97916,143.725,52.1913,0.6610199999999999,78.0,20.1308,438.537,65.41199999999999,3.58817,32.9161,73.12,253.817,5.57895,37.0,0.8938370000000001,3.72951,0.8616370000000001,4.59725,16.5,10.0,54.1,50.0,47.9253005981445,3.4669300000000005,2.0592599999999996,2.1562799999999998,1.8336299999999999,0.17,10.36,0,0.0
MWI,46.1,22.1,0.47700000000000004,3.42,32.5,21.1,1135.0,3.0,9.3,108.0,4.8,17.0,11.0,6.7,70.7,31.3,3.0,3.0,-0.27,-0.7,-0.8,-0.37,-0.65,47.1,28.9,33.1,76.9,52.0,50.0,16.7,48.35,52.91,50.21,41.94,61.86,54.87,28.65,66.24,62.98,34.37,41.31,62.17,70.91,49.36,40.24,7.23,25.9,249.797,55.1,36.122,630.535,67.1951,21.5268,43.5296,7.412389999999999,11.0,1.8502299999999998,137.43,1.78,0.695732,3.0,21.4204,62.1435,97.7588,37.3808,0.89255,0.954203,39.678000000000004,9.6141,0.28814,55.6,16.6681,513.076,49.643,1.00594,63.7268,0.0,547.888,16.6794,26.0,0.829992,3.6032,0.7878569999999999,2.0696,60.6,26.0,75.7,31.0,4.74139976501465,5.6,1.8591,1.60527,2.21409,0.01,4.98,0,0.0
