code,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),GDP (billions PPP),GDP per capita (PPP),GDP growth (annual %),health expenditure % of GDP,health expenditure per person,education expenditure % of GDP,education expenditure per person ,school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs),Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000)","Homicide rate (deaths/100,000)",Political killings and torture (0=low freedom; 1=high freedom),Perceived criminality (1=low; 5=high),"Traffic deaths (deaths/100,000)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (girls/boys),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Participation in online governance (0=low; 1=high),Access to independent media (% of pop.),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000)",Wastewater treatment (0=no treatment; 100=fully treated),Greenhouse gas emissions (CO2 equivalents per GDP),Biome protection (% of biomes),Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no right; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (0=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
JOR,39.7,,0.735,4.81,48.7,85.6,12278.0,2.5,6.3,568.0,,,13.0,13.2,69.4,32.0,5.0,5.0,-0.53,0.1,0.1,0.26,0.26,57.3,51.9,57.6,92.4,64.9,60.0,15.4,69.75,87.77,72.13,49.36,94.16,95.56,93.21,68.14,84.11,68.25,66.31,69.84,60.66,70.67,28.5,37.62,4.2,35.444,17.6,7.932,25.9381,98.5667,86.1083,96.7081,0.06988,100.0,5.72457,0.029046,2.0,0.755983,3.0,18.9434,97.8903,,70.0844,1.0353,2.4079,103.835,62.3022,0.45763000000000004,62.25,21.5272,344.457,66.27199999999999,2.46698,48.5147,81.74,426.60699999999997,1.17668,12.0,0.583226,2.14141,0.750366,3.95471,9.5,7.0,61.9,48.0,,8.3,0.9334389999999999,1.91888,1.1936799999999999,0.42,12.39,3,30.0
JPN,37.9,28.3,0.909,5.91,75.2,5237.8,41275.0,0.5,10.9,4405.0,3.6,1368.0,15.0,3.1,54.1,39.1,1.0,1.0,1.12,1.6,1.4,1.57,1.52,73.2,79.2,86.0,67.4,72.3,60.0,9.3,89.74,97.78,94.66,76.78,98.21,99.11,98.21,95.58,98.86,96.62,91.2,91.97,95.37,80.13,62.72,68.89,2.5,5.727,2.7,3.718,26.3157,98.9455,97.7943,100.0,,100.0,6.66441,0.012392,0.31,0.9560049999999999,1.0,4.50736,,98.7999,102.14200000000001,1.00591,3.87816,130.61,93.1827,0.98305,94.8571,26.3058,168.855,83.32799999999999,3.85682,12.5909,94.06,276.738,17.0,40.0,0.8781530000000001,3.8233599999999996,0.979923,4.80342,8.5,1.0,60.1,73.0,28.907899856567397,3.4,1.9940900000000001,3.1327700000000003,3.29081,1.37,15.51,111,30.0
KAZ,26.3,19.1,0.8,5.88,57.7,451.3,25145.0,1.2,3.9,903.0,,,15.0,5.2,85.3,22.2,7.0,5.0,0.02,0.0,0.2,-0.41,-0.82,58.1,44.6,56.0,92.6,69.1,50.0,27.1,67.26,83.18,69.89,48.72,95.8,90.58,84.26,62.09,94.65,65.17,57.38,62.38,52.77,66.86,30.82,44.41,2.5,15.023,11.4,8.033999999999999,30.4859,91.1456,74.9984,97.8053,0.02049,100.0,4.579219999999999,22.7799,4.84,0.627011,3.0,18.2681,99.7816,99.181,113.073,1.00894,2.70627,141.957,74.5877,0.59322,28.3333,18.8188,546.095,63.773,2.8138799999999997,68.2689,79.83,715.164,3.2639099999999996,5.0,0.43929700000000005,1.6274,0.715847,4.21622,26.6,5.0,76.2,31.0,6.88640022277832,7.9,1.75415,0.8909040000000001,2.03405,0.86,13.93,10,10.0
KEN,48.5,24.2,0.59,4.48,35.4,152.8,3361.0,5.6,5.2,157.0,5.3,70.0,11.0,11.0,77.5,27.4,4.0,4.0,-1.08,-0.3,-0.2,-0.41,-0.96,44.0,27.5,47.9,78.5,54.7,50.0,21.8,55.55,57.35,63.71,45.58,69.18,48.59,60.59,51.02,69.29,58.31,53.58,73.68,56.91,56.91,34.66,33.85,19.1,249.578,49.2,23.229,554.977,58.4568,32.1292,29.8447,15.2648,56.0,4.08936,85.4024,5.75,0.36001,4.0,15.3858,78.733,83.119,57.8434,0.9041299999999999,1.98957,80.4394,26.0,0.52542,70.0,18.2202,289.974,55.513999999999996,1.4823,34.4627,41.57,477.719,13.8347,19.0,0.7534270000000001,3.12262,0.322117,2.4918099999999996,52.9,13.0,77.8,28.0,19.493999481201197,8.9,1.7464099999999998,1.8363599999999998,1.6701599999999999,0.28,9.14,1,50.0
KGZ,33.4,33.1,0.672,5.63,45.4,21.5,3521.0,3.5,8.2,287.0,5.5,71.0,13.0,7.7,58.2,37.3,5.0,5.0,-0.43,-0.7,-0.4,-0.93,-1.05,22.1,29.4,50.2,93.8,62.8,50.0,19.2,65.79,79.79,68.93,48.66,91.42,91.94,75.83,59.96,93.3,64.35,54.83,63.26,63.91,59.74,42.63,28.36,6.4,45.699,21.1,12.639000000000001,39.128,87.2686,88.8248,96.5861,0.0,99.9961,3.6492199999999997,50.559,5.12,0.530409,3.0,18.0669,99.2434,99.6194,97.5656,1.00074,2.33704,127.835,34.5,0.59322,60.1429,18.7077,515.101,60.287,2.40364,75.2684,65.61,816.965,12.3627,12.0,0.746382,2.13797,0.678423,4.261830000000001,39.7,8.0,67.2,29.0,8.00360012054443,8.1,2.21727,2.34776,2.19794,0.63,13.79,0,0.0
KHM,37.9,25.6,0.5820000000000001,4.59,38.5,59.0,3737.0,6.9,6.0,210.0,1.9,21.0,11.0,0.3,86.5,21.2,6.0,5.0,0.17,-0.7,-0.5,-1.06,-1.29,24.5,17.7,36.0,89.8,58.7,50.0,20.3,47.5,56.04,52.38,34.08,78.27,47.03,49.55,49.34,62.66,45.41,41.69,59.78,43.45,51.86,31.54,9.49,15.3,126.111,30.6,32.253,200.019,74.9708,21.44,48.8255,50.519,49.7707,3.46728,132.10299999999998,1.84,0.338138,4.0,29.0776,73.9,93.0016,45.227,0.8547600000000001,0.590194,126.348,32.3985,0.0678,37.5,17.6119,487.916,51.266999999999996,0.428863,72.6382,0.0,604.448,17.0,10.0,0.189195,2.9837599999999997,0.238367,3.3153599999999996,51.7,11.0,60.7,21.0,29.982900619506804,6.6,1.53922,0.819146,1.24318,0.1,5.69,0,0.0
KIR,,,0.612,,,0.2,1823.0,4.2,7.6,152.0,,,12.0,,0.0,117.6,1.0,1.0,0.9,-0.3,-0.8,0.53,0.39,35.3,37.9,45.0,72.4,50.8,30.0,6.5,,,,,81.25,43.74,,,,,,83.66,,,,,3.3,174.429,54.3,18.47,233.812,64.3923,33.3883,39.7729,50.1404,84.9363,,154.164,7.5,,,15.3217,,98.1342,87.1361,1.10362,,45.4565,13.7,0.25424,,14.6035,1100.7,41.413000000000004,,12.8511,58.45,416.99800000000005,17.0,38.0,,,,,,,43.1,,,,,,,,10.01,0,0.0
KNA,,,0.778,,,,,,5.6,1443.0,,,,,,,1.0,1.0,0.64,0.6,0.6,0.53,0.51,,,,,,,13.3,,,,,,,,,,,,,,,,,,,9.3,,,98.9676,98.9676,91.6091,,100.0,,,33.55,,,,,,,,,139.696,76.8177,0.27119,,,,,,,,303.77099999999996,10.8525,36.0,,,,,,,,,,,,,,,,0,0.0
KOR,35.7,24.8,0.903,5.87,,1934.0,37740.0,2.6,7.4,,5.1,1406.0,17.0,3.7,68.8,32.3,2.0,2.0,0.29,1.1,1.1,1.16,0.48,63.7,49.9,79.4,73.3,73.8,70.0,17.0,87.13,96.0,89.1,76.28,98.2,99.43,96.86,89.52,98.17,93.69,85.45,79.1,92.93,78.94,64.03,69.2,2.5,10.709000000000001,3.4,3.115,24.7956,99.5949,98.2287,99.8875,,100.0,6.40969,0.005383,0.74,0.9517709999999999,1.0,14.3128,,97.3683,100.197,1.00142,3.86513,120.68,92.84299999999999,0.9661,85.75,24.0086,207.50599999999997,81.594,3.80553,24.4858,98.22,395.69199999999995,3.4548099999999997,33.0,0.9476760000000001,3.88709,0.960218,4.62765,19.4,0.0,83.4,54.0,31.2450008392334,2.6,2.2076,2.68003,3.4260800000000002,1.94,14.62,47,20.0
KSV,23.2,,,6.15,,18.4,9600.0,3.3,,,,,,,77.9,27.1,3.0,4.0,-0.21,-0.4,-0.1,-0.42,-0.5,59.0,45.4,52.3,93.2,66.6,30.0,,,,,,,,,,,,,,59.41,,,,,,,,,,,,,100.0,,,,0.85524,4.0,,,,,,2.64657,,,,73.8571,,,,2.25602,,,,0.0,24.0,0.768048,3.55562,0.35430900000000004,1.9038,,,,39.0,9.89330005645752,,1.89893,1.33677,3.07599,,,0,0.0
